ID,code,description,system_ID,ruleLogic
c29486da-fcb1-42cc-b8dd-077d1f84d005,CON01,User with SAP_ALL,719f0656-b69a-4457-aec4-a79f7887c1c5,rolesProfiles == 'SAP_ALL'
74565701-47ef-4450-a3d9-a8086c983dbb,CON02,User with SAP_NEW,719f0656-b69a-4457-aec4-a79f7887c1c5,rolesProfiles == 'SAP_NEW'
